Type Class
Infer Inheritance
If Condition
Else Condition
Ipok Integer
Sipok SInteger
Craf Character
Sequence String
Ipokf Float
Sipokf SFloat
Valueless Void
Rational Boolean
Endthis Break
However Loop
When Loop
Respondwith Return
Srap Struct
Scan Switch
Conditionof Switch
@ StratSymbol
^ StratSymbol
$ EndSymbol
# EndSymbol
{ Braces
} Braces
[ Braces
] Braces
( Braces
) Braces
Require Inclusion
+ .
- .
* .
/ .
&& .
|| .
~ .
== .
> .
< .
!= .
<= .
>= .
-> .
